weapon,skin,wear,float,pattern,stattrak,price,phase,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
Karambit,Case Hardened,Factory New,0.0125106321647763,777,0,3791.9,,0.02,0.82,99.15,32.48,16.61,50.91,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.023468874107014835,777,0,3768.72,,0.02,0.82,99.15,32.48,16.61,50.91,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0268545489612316,777,0,3866.74,,0.02,0.82,99.15,32.48,16.61,50.91,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0,777,0,3972.25,,0.02,0.82,99.15,32.48,16.61,50.91,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0567665621638298,766,0,1900.78,,2.72,5.43,91.85,56.88,11.31,31.81,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.06721215024344393,766,0,1955.15,,2.72,5.43,91.85,56.88,11.31,31.81,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.04189110747085164,766,0,1891.35,,2.72,5.43,91.85,56.88,11.31,31.81,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.051598483133133054,766,0,1981.9,,2.72,5.43,91.85,56.88,11.31,31.81,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0544781759381294,688,0,2549.0,,0.16,0.12,99.72,34.94,8.85,56.21,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.060232780741355976,688,0,2631.27,,0.16,0.12,99.72,34.94,8.85,56.21,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.052214743891222645,688,0,2479.47,,0.16,0.12,99.72,34.94,8.85,56.21,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
