weapon,skin,wear,float,pattern,stattrak,price,phase,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AK-47,Case Hardened,Factory New,0.0674676597118377,349,0,544.67,,9.45,,,26.61,,,3,156.62,52.20666666666667,58.54,0.2875502597903318,Sticker | Cloud9 (Foil) | MLG Columbus 2016,49.04,Sticker | shroud (Foil) | Krakow 2017,58.54,Sticker | Cloud9 (Foil) | MLG Columbus 2016,49.04,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.07294678068295697,349,0,420.44,,9.45,,,26.61,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.07463961811006535,349,0,431.38,,9.45,,,26.61,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.0171258766204118,60,0,630.16,,8.51,,,14.51,,,4,335.7,83.925,94.86,0.532721848419449,Sticker | G2 Esports (Holo) | Atlanta 2017,94.86,Sticker | G2 Esports (Holo) | Atlanta 2017,94.86,Sticker | G2 Esports (Holo) | Atlanta 2017,94.86,Sticker | Natus Vincere (Holo) | Atlanta 2017,51.12,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.009009423578164791,60,0,430.69,,8.51,,,14.51,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.02234867066021886,60,0,422.9,,8.51,,,14.51,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.0695779025554657,412,0,644.0,,9.62,,,0.0,,,4,55.99,13.9975,28.74,0.0869409937888198,Sticker | Twistzz (Gold) | Antwerp 2022,23.36,Sticker | FaZe Clan (Gold) | Paris 2023,1.96,Sticker | G2 Esports (Gold) | Paris 2023,1.93,Sticker | m0NESY (Gold) | Paris 2023,28.74,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.06214017520897662,412,0,589.55,,9.62,,,0.0,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.06699386304011733,412,0,617.77,,9.62,,,0.0,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Case Hardened (Factory New)
AK-47,Case Hardened,Factory New,0.0692513510584831,35,0,635.4,,23.14,,,13.27,,,4,296.72,74.18,74.18,0.4669814290210891,Sticker | Team Dignitas | Cologne 2014,74.18,Sticker | Team Dignitas | Cologne 2014,74.18,Sticker | Team Dignitas | Cologne 2014,74.18,Sticker | Team Dignitas | Cologne 2014,74.18,AK-47 | Case Hardened (Factory New)
