base_skin,weapon,skin,wear,float,pattern,stattrak,price,phase,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0128449155017733,653,0,2691.65,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0184231735765934,751,0,1752.29,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0004313259851187,780,0,5998.97,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0096010603010654,540,0,1968.94,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0341296643018722,874,0,1442.08,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0101148365065455,359,0,1442.08,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0351065397262573,929,0,20000.0,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0271179899573326,818,0,5000.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0261460393667221,818,0,1650.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0194118116050958,495,0,1350.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0252197012305259,641,0,9160.44,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0084533710032701,687,0,1953.7,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0330603197216987,799,0,2850.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0181816816329956,779,0,11500.0,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0217226669192314,598,0,1569.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0318118147552013,816,0,3223.66,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
