weapon,skin,wear,float,pattern,stattrak,price,phase,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AK-47,Ice Coaled,Factory New,0.0525603517889976,235,0,19.51,,4,9.88,2.47,2.47,0.5064069707842133,Sticker | Natus Vincere (Gold) | Paris 2023,2.47,Sticker | Natus Vincere (Gold) | Paris 2023,2.47,Sticker | Natus Vincere (Gold) | Paris 2023,2.47,Sticker | Natus Vincere (Gold) | Paris 2023,2.47,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0515362843871116,1,0,47.0,,5,75.44,15.088,18.58,1.605106382978723,Sticker | Cloud9 (Holo) | Copenhagen 2024,18.58,Sticker | Watermelon Tier6 (Holo),12.76,Sticker | Cloud9 (Holo) | Copenhagen 2024,18.58,Sticker | Watermelon Tier6 (Holo),12.76,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0636297687888145,694,0,19.26,,1,0.02,0.02,0.02,0.0010384215991692,Sticker | sjuush | Rio 2022,0.02,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,6.640295760007575e-05,170,0,178.33,,5,101.43,20.286,25.24,0.5687769864857287,Sticker | Cloud9 (Holo) | London 2018,25.24,Sticker | Cloud9 (Holo) | London 2018,25.24,Sticker | Cloud9 (Holo) | London 2018,25.24,Sticker | Cloud9 (Holo) | London 2018,25.24,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0678871348500251,743,0,16.99,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0695454254746437,346,0,16.99,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.040134310722351,326,0,28.53,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0529543682932853,945,0,4.28,,4,31.32,7.83,7.83,7.317757009345794,Sticker | Imperial Esports (Holo) | Antwerp 2022,7.83,Sticker | Imperial Esports (Holo) | Antwerp 2022,7.83,Sticker | Imperial Esports (Holo) | Antwerp 2022,7.83,Sticker | Imperial Esports (Holo) | Antwerp 2022,7.83,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0695857778191566,420,0,20.14,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0027442534919828,329,0,46.22,,4,27.48,6.87,6.87,0.5945478147987884,Sticker | Natus Vincere (Gold) | Copenhagen 2024,6.87,Sticker | Natus Vincere (Gold) | Copenhagen 2024,6.87,Sticker | Natus Vincere (Gold) | Copenhagen 2024,6.87,Sticker | Natus Vincere (Gold) | Copenhagen 2024,6.87,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0388968810439109,572,0,21.25,,4,2.82,0.705,1.31,0.1327058823529411,Sticker | Liquid (Holo) | 2020 RMR,0.56,Sticker | North (Holo) | 2020 RMR,0.39,Sticker | Liquid (Holo) | 2020 RMR,0.56,Sticker | Team Liquid (Holo) | Paris 2023,1.31,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0365244895219802,969,0,21.3,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0341476052999496,241,0,21.45,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0646763518452644,540,0,24.0,,5,27.14,5.428,15.71,1.1308333333333334,Sticker | Team Liquid (Holo) | Berlin 2019,0.54,Sticker | Team Liquid | MLG Columbus 2016,7.0,Sticker | Cloud9 | Cologne 2014,15.71,Sticker | All Hail the King (Foil),2.96,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,2.661857070052065e-05,930,0,155.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0654360502958297,865,0,17.3,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0002661746693775,583,0,83.59,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0641389265656471,108,0,17.01,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0397589206695556,44,0,26.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.033683568239212,913,0,22.99,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0633731186389923,263,0,17.57,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0650447085499763,270,0,17.28,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,1.5081473065947648e-05,497,0,310.0,,4,24.96,6.24,6.24,0.080516129032258,Sticker | Leaving The Station (Holo),6.24,Sticker | Leaving The Station (Holo),6.24,Sticker | Leaving The Station (Holo),6.24,Sticker | Leaving The Station (Holo),6.24,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0626557469367981,905,0,18.27,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0641959458589553,813,0,18.71,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0667411535978317,133,0,20.56,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0699497759342193,706,0,21.47,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0669188797473907,621,0,25.84,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0693182945251464,455,0,20.0,,1,1.37,1.37,1.37,0.0685,Sticker | Rush 4x20 (Holo),1.37,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0606102757155895,714,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.061656579375267,696,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0612909831106662,235,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0689065381884574,55,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0646094158291816,863,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0616998486220836,691,0,17.32,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0340410396456718,673,0,21.49,,3,0.49,0.1633333333333333,0.44,0.022801302931596,Sticker | floppy (Glitter) | Copenhagen 2024,0.04,Sticker | Team Spirit | Shanghai 2024,0.01,Sticker | Spirit (Holo) | 2020 RMR,0.44,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0571433305740356,651,0,14.73,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0664482563734054,508,0,17.14,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0622496530413627,952,0,17.35,,5,0.13,0.026,0.07,0.0074927953890489,Sticker | torzsi | Shanghai 2024,0.01,Sticker | Ninjas in Pyjamas (Glitter) | Paris 2023,0.03,Sticker | forZe eSports (Glitter) | Paris 2023,0.07,Sticker | Maka | Shanghai 2024,0.01,AK-47 | Ice Coaled (Factory New)
AK-47,Ice Coaled,Factory New,0.0639324411749839,438,0,17.15,,4,0.04,0.01,0.01,0.0023323615160349,Sticker | Renegades | 2020 RMR,0.01,Sticker | Renegades | 2020 RMR,0.01,Sticker | BIG | Antwerp 2022,0.01,Sticker | BIG | Antwerp 2022,0.01,AK-47 | Ice Coaled (Factory New)
