weapon_name,skin_name,pattern,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold
Karambit,Case Hardened,777,0.02,0.82,99.15,32.48,16.61,50.91
Karambit,Case Hardened,766,2.72,5.43,91.85,56.88,11.31,31.81
Karambit,Case Hardened,688,0.16,0.12,99.72,34.94,8.85,56.21
Karambit,Case Hardened,42,2.87,2.21,94.92,53.51,20.59,25.9
Karambit,Case Hardened,694,26.01,13.45,60.54,66.13,4.34,29.53
Karambit,Case Hardened,231,0.17,1.2,98.63,0.41,5.79,93.8
Karambit,Case Hardened,69,18.3,12.21,69.48,0.16,0.84,99.0
Karambit,Case Hardened,325,14.3,16.58,69.12,34.53,8.12,57.36
Karambit,Case Hardened,4,72.32,4.43,23.25,74.15,6.91,18.94
Karambit,Case Hardened,449,41.23,6.34,52.44,4.32,1.09,94.59
Karambit,Case Hardened,34,25.63,10.19,64.18,74.8,2.57,22.63
Karambit,Case Hardened,246,67.77,10.9,21.33,49.96,23.68,26.37
Karambit,Case Hardened,283,27.03,9.86,63.11,50.47,4.12,45.41
Karambit,Case Hardened,139,9.67,3.2,87.13,74.02,7.01,18.97
Karambit,Case Hardened,499,0.7,13.94,85.36,64.74,4.89,30.38
Karambit,Case Hardened,970,8.54,8.32,83.14,45.66,6.56,47.78
Karambit,Case Hardened,204,45.68,4.72,49.59,16.97,4.77,78.26
Karambit,Case Hardened,633,0.69,5.73,93.58,10.37,11.42,78.22
Karambit,Case Hardened,941,17.0,7.09,75.91,1.0,0.45,98.55
Karambit,Case Hardened,811,49.21,2.63,48.17,77.83,8.16,14.01
Karambit,Case Hardened,189,26.0,12.85,61.15,33.03,12.37,54.6
Karambit,Case Hardened,221,17.56,3.17,79.26,0.43,1.74,97.83
Karambit,Case Hardened,598,66.5,5.83,27.67,56.32,1.31,42.37
Karambit,Case Hardened,842,10.37,2.44,87.2,38.88,7.79,53.33
Karambit,Case Hardened,968,25.92,4.47,69.62,16.74,12.46,70.8
Karambit,Case Hardened,243,30.22,13.93,55.85,38.21,8.69,53.11
Karambit,Case Hardened,582,2.19,2.64,95.18,23.7,12.21,64.09
Karambit,Case Hardened,116,30.98,2.22,66.8,48.28,13.32,38.4
Karambit,Case Hardened,549,14.49,12.38,73.12,7.38,6.89,85.73
Karambit,Case Hardened,379,17.0,4.34,78.67,30.77,17.47,51.76
Karambit,Case Hardened,609,6.38,6.6,87.02,27.23,10.55,62.22
Karambit,Case Hardened,60,4.47,7.77,87.75,42.35,7.63,50.02
Karambit,Case Hardened,88,77.79,4.22,17.99,8.12,1.89,89.99
Karambit,Case Hardened,599,3.58,3.3,93.12,14.4,2.97,82.63
Karambit,Case Hardened,953,43.42,18.74,37.84,53.27,13.64,33.09
Karambit,Case Hardened,896,0.43,3.77,95.8,0.78,8.24,90.98
Karambit,Case Hardened,667,61.02,4.16,34.81,0.51,2.5,96.98
Karambit,Case Hardened,509,24.78,15.07,60.16,68.19,15.5,16.31
Karambit,Case Hardened,343,0.67,9.97,89.36,17.72,4.99,77.29
Karambit,Case Hardened,335,13.78,11.55,74.66,61.36,9.34,29.31
Karambit,Case Hardened,548,15.38,5.47,79.15,0.11,0.94,98.95
Karambit,Case Hardened,522,39.69,22.97,37.34,64.56,4.61,30.83
Karambit,Case Hardened,2,40.26,15.97,43.78,0.01,0.02,99.97
Karambit,Case Hardened,260,26.79,6.0,67.2,18.53,16.41,65.06
Karambit,Case Hardened,666,5.84,2.94,91.22,8.41,11.33,80.26
Karambit,Case Hardened,687,1.94,0.68,97.38,5.75,8.23,86.02
Karambit,Case Hardened,976,15.84,5.0,79.16,0.0,0.02,99.98
Karambit,Case Hardened,304,0.19,0.16,99.65,11.96,8.27,79.77
Karambit,Case Hardened,193,11.19,10.52,78.29,3.52,0.71,95.77
Karambit,Case Hardened,11,13.02,8.58,78.39,70.55,8.58,20.87
Karambit,Case Hardened,282,0.61,0.93,98.46,77.71,2.99,19.3
Karambit,Case Hardened,326,6.23,3.23,90.53,2.11,0.36,97.53
Karambit,Case Hardened,483,7.92,12.4,79.68,0.36,1.74,97.91
Karambit,Case Hardened,669,9.45,3.66,86.89,27.13,19.36,53.5
Karambit,Case Hardened,331,31.55,20.48,47.96,13.66,18.76,67.58
Karambit,Case Hardened,334,13.35,8.85,77.8,53.42,4.01,42.57
Karambit,Case Hardened,627,48.43,21.04,30.53,38.7,14.46,46.84
Karambit,Case Hardened,288,15.98,5.78,78.25,3.64,14.44,81.92
Karambit,Case Hardened,464,3.27,3.12,93.61,48.55,9.45,41.99
Karambit,Case Hardened,458,7.94,3.7,88.36,44.23,10.28,45.49
Karambit,Case Hardened,815,1.34,0.33,98.32,0.0,0.11,99.89
Karambit,Case Hardened,796,8.34,2.72,88.94,53.83,14.11,32.05
Karambit,Case Hardened,717,5.58,2.67,91.76,43.24,18.88,37.88
Karambit,Case Hardened,205,59.05,11.12,29.83,47.56,23.2,29.24
Karambit,Case Hardened,330,10.93,5.32,83.75,69.42,7.85,22.73
Karambit,Case Hardened,639,0.47,4.48,95.05,42.07,15.8,42.12
Karambit,Case Hardened,767,6.54,1.94,91.52,50.51,17.23,32.26
Karambit,Case Hardened,621,8.73,5.84,85.43,1.8,2.07,96.13
Karambit,Case Hardened,463,0.12,1.12,98.76,84.89,5.13,9.97
Karambit,Case Hardened,854,9.59,12.79,77.62,32.55,3.26,64.2
Karambit,Case Hardened,156,84.6,2.35,13.05,0.0,0.29,99.71
Karambit,Case Hardened,381,14.28,8.1,77.62,50.52,2.41,47.07
Karambit,Case Hardened,653,9.94,3.95,86.11,0.14,1.61,98.26
Karambit,Case Hardened,521,0.07,2.94,96.99,43.16,16.06,40.78
Karambit,Case Hardened,541,55.5,15.73,28.77,82.91,2.19,14.9
Karambit,Case Hardened,273,29.62,10.75,59.63,79.18,4.95,15.87
Karambit,Case Hardened,723,2.85,5.32,91.83,7.27,3.78,88.95
Karambit,Case Hardened,781,5.51,3.37,91.11,0.45,1.22,98.33
Karambit,Case Hardened,179,47.69,10.07,42.24,57.41,1.01,41.58
Karambit,Case Hardened,468,12.7,15.71,71.59,52.04,0.32,47.64
Karambit,Case Hardened,70,29.47,14.49,56.04,0.53,0.91,98.57
Karambit,Case Hardened,643,1.63,0.49,97.88,65.04,10.08,24.88
Karambit,Case Hardened,821,53.85,4.02,42.12,34.03,17.63,48.34
Karambit,Case Hardened,406,92.28,0.81,6.91,12.49,17.13,70.38
Karambit,Case Hardened,802,53.31,15.11,31.59,0.0,0.06,99.94
Karambit,Case Hardened,988,0.55,2.51,96.94,0.03,0.65,99.32
Karambit,Case Hardened,554,11.63,16.57,71.8,6.22,4.51,89.27
Karambit,Case Hardened,347,5.4,1.84,92.76,12.42,9.08,78.5
Karambit,Case Hardened,845,36.91,12.21,50.88,6.52,8.51,84.96
Karambit,Case Hardened,783,45.53,3.82,50.66,9.55,3.87,86.58
Karambit,Case Hardened,289,5.26,7.79,86.96,3.88,6.51,89.61
Karambit,Case Hardened,485,27.37,4.77,67.86,38.97,24.87,36.16
Karambit,Case Hardened,857,35.33,16.04,48.62,16.87,12.69,70.44
Karambit,Case Hardened,92,1.33,1.6,97.07,76.63,6.57,16.8
Karambit,Case Hardened,465,9.52,13.38,77.1,1.12,2.26,96.62
Karambit,Case Hardened,819,0.09,0.51,99.4,8.92,20.09,71.0
Karambit,Case Hardened,196,0.54,5.8,93.66,23.35,21.06,55.59
Karambit,Case Hardened,852,0.94,6.79,92.28,66.77,10.81,22.42
Karambit,Case Hardened,68,2.68,0.6,96.72,44.91,8.63,46.46
Karambit,Case Hardened,265,2.79,8.95,88.26,71.71,14.71,13.58
Karambit,Case Hardened,453,46.36,8.42,45.22,80.78,6.44,12.78
Karambit,Case Hardened,622,9.46,4.02,86.51,48.13,5.56,46.31
Karambit,Case Hardened,956,15.15,10.52,74.33,6.58,11.56,81.85
Karambit,Case Hardened,965,1.92,0.86,97.22,76.86,3.53,19.61
Karambit,Case Hardened,120,0.08,0.81,99.12,0.18,0.15,99.67
Karambit,Case Hardened,530,58.72,20.2,21.08,41.01,25.33,33.66
Karambit,Case Hardened,843,4.03,2.61,93.36,13.48,15.22,71.31
Karambit,Case Hardened,339,21.07,6.63,72.3,0.09,0.6,99.31
Karambit,Case Hardened,712,52.45,10.52,37.02,1.81,10.55,87.63
Karambit,Case Hardened,704,0.2,1.64,98.16,12.84,14.42,72.73
Karambit,Case Hardened,826,14.79,0.34,84.87,44.06,14.81,41.12
Karambit,Case Hardened,933,62.46,2.67,34.87,16.3,14.32,69.38
Karambit,Case Hardened,678,4.35,16.51,79.14,8.42,3.67,87.91
Karambit,Case Hardened,592,11.0,2.21,86.79,9.3,1.4,89.3
Karambit,Case Hardened,17,11.55,12.16,76.29,18.84,7.51,73.66
Karambit,Case Hardened,985,9.03,8.29,82.68,56.05,13.86,30.09
Karambit,Case Hardened,660,1.54,0.28,98.19,3.16,1.91,94.93
