weapon_name,skin_name,pattern,fade_percentage,fade_rank
AWP,Fade,683,98.64601,69
AWP,Fade,638,92.40572,388
AWP,Fade,3,95.34266,234
AWP,Fade,764,97.63483,125
AWP,Fade,504,93.27533,344
AWP,Fade,928,92.24866,402
AWP,Fade,148,95.52842,224
AWP,Fade,720,92.311775,398
AWP,Fade,503,89.8342,508
AWP,Fade,692,90.23697,490
AWP,Fade,419,93.024704,358
AWP,Fade,133,87.44229,629
AWP,Fade,217,94.26994,291
AWP,Fade,878,83.78457,803
AWP,Fade,27,96.9359,157
AWP,Fade,635,88.236305,588
AWP,Fade,85,87.54102,620
AWP,Fade,218,93.56623,325
AWP,Fade,738,86.58022,669
AWP,Fade,660,99.180084,40
AWP,Fade,908,99.36392,28
AWP,Fade,413,95.760315,215
AWP,Fade,803,98.60144,72
AWP,Fade,398,91.35462,438
AWP,Fade,179,84.39142,768
AWP,Fade,652,99.23043,34
AWP,Fade,743,99.701004,13
AWP,Fade,543,88.67916,565
AWP,Fade,332,99.4838,24
AWP,Fade,185,94.40824,279
AWP,Fade,941,97.091995,148
AWP,Fade,773,99.021996,47
AWP,Fade,329,97.28192,141
AWP,Fade,461,98.29057,96
AWP,Fade,808,84.25716,777
AWP,Fade,837,87.17646,642
AWP,Fade,867,98.65255,67
AWP,Fade,53,86.25691,679
AWP,Fade,792,99.545654,21
AWP,Fade,238,97.75955,120
AWP,Fade,968,81.33003,924
AWP,Fade,956,81.22219,931
AWP,Fade,845,95.45978,229
AWP,Fade,700,87.50404,623
AWP,Fade,487,83.90048,792
AWP,Fade,278,81.210785,932
AWP,Fade,809,97.09512,147
AWP,Fade,79,84.26498,776
AWP,Fade,533,87.20609,639
AWP,Fade,602,99.943085,2
AWP,Fade,762,83.24548,828
AWP,Fade,919,92.94654,364
AWP,Fade,864,85.415764,719
AWP,Fade,86,88.386345,583
AWP,Fade,359,99.93629,3
AWP,Fade,28,97.43798,131
AWP,Fade,842,88.685616,564
AWP,Fade,552,94.35974,285
AWP,Fade,815,83.81964,800
AWP,Fade,535,96.08102,200
AWP,Fade,993,84.193954,782
AWP,Fade,578,99.10068,42
AWP,Fade,637,98.08191,103
AWP,Fade,798,82.731026,851
AWP,Fade,631,99.01019,48
AWP,Fade,757,84.29813,774
AWP,Fade,93,80.075066,996
AWP,Fade,407,90.328514,483
AWP,Fade,709,94.36433,284
AWP,Fade,799,87.677155,614
AWP,Fade,858,97.40794,133
AWP,Fade,129,99.48478,23
AWP,Fade,337,98.46521,86
AWP,Fade,149,98.14509,101
AWP,Fade,243,98.49905,81
AWP,Fade,643,88.86668,557
AWP,Fade,699,93.6058,323
AWP,Fade,220,93.87448,310
AWP,Fade,776,94.04616,299
AWP,Fade,866,84.61354,752
AWP,Fade,501,88.90404,554
AWP,Fade,87,80.14308,989
AWP,Fade,358,81.91483,896
AWP,Fade,536,82.51474,862
AWP,Fade,909,96.76595,169
AWP,Fade,644,87.652565,615
AWP,Fade,274,98.73128,61
AWP,Fade,95,86.424774,675
AWP,Fade,844,97.622604,126
AWP,Fade,453,85.584175,716
AWP,Fade,516,97.91182,113
AWP,Fade,171,98.07886,104
AWP,Fade,701,99.87698,6
AWP,Fade,575,80.00716,1000
AWP,Fade,574,93.7419,317
AWP,Fade,199,88.90586,553
AWP,Fade,441,97.341545,138
AWP,Fade,71,96.35198,185
AWP,Fade,58,98.540794,78
AWP,Fade,493,98.21456,99
AWP,Fade,499,97.88895,114
AWP,Fade,590,96.951126,155
AWP,Fade,632,97.31126,140
AWP,Fade,599,81.47102,917
AWP,Fade,99,89.14947,540
AWP,Fade,790,83.05989,836
AWP,Fade,576,80.50942,973
AWP,Fade,399,80.77361,949
