sticker_id,name,reference_price
114,Sticker | Sneaky Beaky Like,0.36
209,Sticker | Virtus.Pro (Foil) | DreamHack 2014,130.53
223,Sticker | ESC Gaming | DreamHack 2014,50.71
227,Sticker | Planetkey Dynamics | DreamHack 2014,100.8
270,Sticker | Work For Ammo,0.91
276,Sticker | Just Trolling,0.71
358,Sticker | The Guru,0.1
361,Sticker | The Samurai,0.08
362,Sticker | Skull Lil Boney,0.41
363,Sticker | Skulltorgeist,0.44
370,Sticker | Awp Country,0.7
373,Sticker | Knife Club,0.77
376,Sticker | Pros Don't Fake,0.84
387,Sticker | JW (Foil) | Cologne 2015,16.86
410,Sticker | GuardiaN | Cologne 2015,4.87
414,Sticker | Zeus (Foil) | Cologne 2015,11.4
441,Sticker | kennyS (Foil) | Cologne 2015,40.88
471,Sticker | NEO (Foil) | Cologne 2015,14.01
474,Sticker | pashaBiceps (Foil) | Cologne 2015,33.84
480,Sticker | Snax (Foil) | Cologne 2015,22.42
575,Sticker | Maniac | Cologne 2015,12.75
600,Sticker | reltuC (Foil) | Cologne 2015,12.4
659,Sticker | Flipsid3 Tactics | Cologne 2015,11.63
665,Sticker | Counter Logic Gaming | Cologne 2015,8.2
677,Sticker | hazed | Cluj-Napoca 2015,5.82
680,Sticker | jdm64 | Cluj-Napoca 2015,8.29
695,Sticker | Skadoodle | Cluj-Napoca 2015,7.44
696,Sticker | Skadoodle (Foil) | Cluj-Napoca 2015,70.36
735,Sticker | JW (Foil) | Cluj-Napoca 2015,16.23
761,Sticker | boltz | Cluj-Napoca 2015,12.35
792,Sticker | Edward (Foil) | Cluj-Napoca 2015,13.54
795,Sticker | flamie (Foil) | Cluj-Napoca 2015,11.51
797,Sticker | GuardiaN | Cluj-Napoca 2015,5.23
798,Sticker | GuardiaN (Foil) | Cluj-Napoca 2015,28.69
804,Sticker | Zeus (Foil) | Cluj-Napoca 2015,13.97
830,Sticker | Pimp | Cluj-Napoca 2015,59.67
831,Sticker | Pimp (Foil) | Cluj-Napoca 2015,78.28
869,Sticker | device | Cluj-Napoca 2015,5.08
870,Sticker | device (Foil) | Cluj-Napoca 2015,39.45
896,Sticker | byali | Cluj-Napoca 2015,3.52
899,Sticker | NEO | Cluj-Napoca 2015,5.67
917,Sticker | Counter Logic Gaming | Cluj-Napoca 2015,6.61
932,Sticker | Natus Vincere | Cluj-Napoca 2015,2.87
951,Sticker | Team EnVyUs (Foil) | Cluj-Napoca 2015,18.82
982,Sticker | Don't Worry (Foil),1.33
989,Sticker | The Awper,0.59
1100,Sticker | Skadoodle (Foil) | MLG Columbus 2016,215.46
1115,Sticker | kennyS (Foil) | MLG Columbus 2016,85.77
1145,Sticker | olofmeister (Foil) | MLG Columbus 2016,18.63
1166,Sticker | fnx (Foil) | MLG Columbus 2016,29.4
1174,Sticker | fer | MLG Columbus 2016,3.02
1226,Sticker | jasonR (Foil) | MLG Columbus 2016,31.93
1294,Sticker | mou | MLG Columbus 2016,3.63
1306,Sticker | pashaBiceps | MLG Columbus 2016,6.85
1312,Sticker | TaZ | MLG Columbus 2016,2.21
1335,Sticker | Flipsid3 Tactics (Foil) | Cologne 2016,45.32
1424,Sticker | kennyS | Cologne 2016,35.18
1448,Sticker | JW | Cologne 2016,2.54
1449,Sticker | JW (Foil) | Cologne 2016,22.19
1454,Sticker | olofmeister | Cologne 2016,2.93
1455,Sticker | olofmeister (Foil) | Cologne 2016,32.69
1464,Sticker | fox (Foil) | Cologne 2016,83.37
1478,Sticker | FalleN | Cologne 2016,8.45
1511,Sticker | GuardiaN | Cologne 2016,4.25
1524,Sticker | f0rest (Foil) | Cologne 2016,20.2
1616,Sticker | pashaBiceps | Cologne 2016,11.43
1640,Sticker | Dragon,0.13
1644,Sticker | Phoenix Reborn,0.26
1748,Sticker | FaZe Clan (Foil) | Atlanta 2017,160.95
1752,Sticker | Flipsid3 Tactics (Foil) | Atlanta 2017,160.2
1756,Sticker | Fnatic (Foil) | Atlanta 2017,77.39
1780,Sticker | Natus Vincere (Foil) | Atlanta 2017,88.71
1830,Sticker | DeadFox (Foil) | Atlanta 2017,46.98
1854,Sticker | apEX (Foil) | Atlanta 2017,60.62
1860,Sticker | SIXER (Foil) | Atlanta 2017,46.5
1862,Sticker | kennyS | Atlanta 2017,16.21
1899,Sticker | aizy (Foil) | Atlanta 2017,34.0
1902,Sticker | allu (Foil) | Atlanta 2017,36.65
1910,Sticker | karrigan | Atlanta 2017,13.53
1911,Sticker | karrigan (Foil) | Atlanta 2017,84.61
1923,Sticker | fox (Foil) | Atlanta 2017,42.46
1950,Sticker | GuardiaN (Foil) | Atlanta 2017,48.38
1968,Sticker | JW (Foil) | Atlanta 2017,36.62
1971,Sticker | flusha (Foil) | Atlanta 2017,25.26
1989,Sticker | jdm64 (Foil) | Atlanta 2017,94.49
2012,Sticker | shox | Atlanta 2017,2.96
2013,Sticker | shox (Foil) | Atlanta 2017,44.38
2054,Sticker | pashaBiceps | Atlanta 2017,4.71
2057,Sticker | Snax | Atlanta 2017,3.43
2099,Sticker | G2 Esports | Krakow 2017,1.38
2101,Sticker | G2 Esports (Foil) | Krakow 2017,48.92
2149,Sticker | device (Foil) | Krakow 2017,44.97
2166,Sticker | NEO | Krakow 2017,2.71
2172,Sticker | Snax | Krakow 2017,2.53
2174,Sticker | Snax (Gold) | Krakow 2017,344.13
2178,Sticker | dennis | Krakow 2017,1.84
2186,Sticker | JW (Gold) | Krakow 2017,636.17
2187,Sticker | KRIMZ | Krakow 2017,1.79
2191,Sticker | olofmeister (Foil) | Krakow 2017,15.84
2213,Sticker | flamie (Gold) | Krakow 2017,639.27
2215,Sticker | GuardiaN (Foil) | Krakow 2017,19.34
2216,Sticker | GuardiaN (Gold) | Krakow 2017,891.16
2222,Sticker | seized (Gold) | Krakow 2017,504.89
2227,Sticker | Dosia (Foil) | Krakow 2017,12.44
2234,Sticker | mou (Gold) | Krakow 2017,416.76
2255,Sticker | allu (Gold) | Krakow 2017,312.91
2270,Sticker | chrisJ (Gold) | Krakow 2017,321.76
2287,Sticker | bodyy (Foil) | Krakow 2017,20.16
2289,Sticker | kennyS | Krakow 2017,10.78
2291,Sticker | kennyS (Gold) | Krakow 2017,1831.67
2293,Sticker | NBK- (Foil) | Krakow 2017,20.02
2302,Sticker | keev (Foil) | Krakow 2017,64.31
2303,Sticker | keev (Gold) | Krakow 2017,2996.31
2324,Sticker | Skadoodle (Gold) | Krakow 2017,849.48
2333,Sticker | innocent (Gold) | Krakow 2017,374.04
2343,Sticker | B1ad3 | Krakow 2017,4.91
2344,Sticker | B1ad3 (Foil) | Krakow 2017,27.31
2346,Sticker | electronic | Krakow 2017,6.2
2347,Sticker | electronic (Foil) | Krakow 2017,39.47
2351,Sticker | markeloff (Gold) | Krakow 2017,465.19
2361,Sticker | HEN1 | Krakow 2017,1.77
2370,Sticker | steel | Krakow 2017,1.74
2373,Sticker | chopper | Krakow 2017,2.57
2448,Sticker | Virtus.Pro | Boston 2018,2.74
2452,Sticker | Fnatic | Boston 2018,2.41
2482,Sticker | Natus Vincere (Foil) | Boston 2018,19.2
2502,Sticker | Space Soldiers (Foil) | Boston 2018,25.02
2534,Sticker | ELEAGUE (Foil) | Boston 2018,16.19
2574,Sticker | mou (Foil) | Boston 2018,8.61
2575,Sticker | mou (Gold) | Boston 2018,204.41
2591,Sticker | device | Boston 2018,9.48
2612,Sticker | pashaBiceps | Boston 2018,4.48
2613,Sticker | pashaBiceps (Foil) | Boston 2018,11.78
2615,Sticker | Snax | Boston 2018,2.15
2626,Sticker | Golden (Gold) | Boston 2018,700.0
2628,Sticker | JW (Foil) | Boston 2018,8.36
2629,Sticker | JW (Gold) | Boston 2018,480.23
2639,Sticker | FalleN | Boston 2018,5.31
2641,Sticker | FalleN (Gold) | Boston 2018,352.53
2650,Sticker | TACO (Gold) | Boston 2018,198.04
2660,Sticker | nex | Boston 2018,1.52
2662,Sticker | nex (Gold) | Boston 2018,534.97
2686,Sticker | bodyy (Gold) | Boston 2018,175.2
2688,Sticker | kennyS (Foil) | Boston 2018,30.22
2689,Sticker | kennyS (Gold) | Boston 2018,1217.26
2692,Sticker | NBK- (Gold) | Boston 2018,164.68
2702,Sticker | Skadoodle | Boston 2018,4.57
2710,Sticker | tarik (Gold) | Boston 2018,413.21
2716,Sticker | markeloff (Gold) | Boston 2018,163.99
2735,Sticker | s1mple | Boston 2018,10.81
2743,Sticker | chrisJ (Gold) | Boston 2018,205.3
2746,Sticker | oskar (Gold) | Boston 2018,102.24
2758,Sticker | denis (Gold) | Boston 2018,131.26
2773,Sticker | GuardiaN (Gold) | Boston 2018,564.59
2779,Sticker | NiKo (Gold) | Boston 2018,1411.35
2794,Sticker | jR (Gold) | Boston 2018,207.52
2797,Sticker | keshandr (Gold) | Boston 2018,564.59
2819,Sticker | jdm64 | Boston 2018,2.34
2846,Sticker | AZR | Boston 2018,1.47
2857,Sticker | Nifty (Gold) | Boston 2018,1000.0
2866,Sticker | RpK (Gold) | Boston 2018,189.99
2880,Sticker | devoduvek (Foil) | Boston 2018,13.07
2883,Sticker | seang@res (Foil) | Boston 2018,205.54
2889,Sticker | SicK (Foil) | Boston 2018,7.11
2905,Sticker | waterfaLLZ (Gold) | Boston 2018,590.0
2925,Sticker | Entry Fragger,0.19
2932,Sticker | Small Arms (Holo),1.26
2940,Sticker | Attacker | Boston 2018,4.88
2964,Sticker | Natus Vincere (Holo) | London 2018,12.19
2965,Sticker | Natus Vincere (Foil) | London 2018,20.6
2967,Sticker | MIBR | London 2018,0.69
2991,Sticker | Vega Squadron | London 2018,1.92
3039,Sticker | Rogue | London 2018,2.0
3040,Sticker | Rogue (Holo) | London 2018,10.53
3044,Sticker | Team Spirit (Holo) | London 2018,11.0
3097,Sticker | GuardiaN (Gold) | London 2018,161.99
3109,Sticker | NiKo (Gold) | London 2018,705.67
3117,Sticker | s1mple (Foil) | London 2018,24.05
3119,Sticker | Edward | London 2018,0.46
3128,Sticker | FalleN | London 2018,3.51
3136,Sticker | Stewie2K (Gold) | London 2018,386.76
3170,Sticker | kennyS | London 2018,4.9
3171,Sticker | kennyS (Foil) | London 2018,23.76
3172,Sticker | kennyS (Gold) | London 2018,736.9
3186,Sticker | draken (Foil) | London 2018,7.85
3187,Sticker | draken (Gold) | London 2018,364.33
3188,Sticker | JW | London 2018,0.97
3190,Sticker | JW (Gold) | London 2018,181.57
3228,Sticker | chopper (Foil) | London 2018,15.88
3259,Sticker | smooya (Gold) | London 2018,414.9
3260,Sticker | dupreeh | London 2018,1.01
3321,Sticker | GeT_RiGhT (Foil) | London 2018,7.95
3324,Sticker | f0rest (Foil) | London 2018,7.46
3394,Sticker | JUGi (Gold) | London 2018,133.33
3416,Sticker | sdy | London 2018,9.19
3417,Sticker | sdy (Foil) | London 2018,108.6
3418,Sticker | sdy (Gold) | London 2018,3158.26
3439,Sticker | xccurate (Gold) | London 2018,350.85
3508,Sticker | MIBR | Katowice 2019,1.14
3514,Sticker | Natus Vincere (Foil) | Katowice 2019,11.98
3516,Sticker | Ninjas in Pyjamas | Katowice 2019,2.47
3587,Sticker | Magisk (Gold) | Katowice 2019,59.36
3596,Sticker | dupreeh (Gold) | Katowice 2019,58.37
3602,Sticker | fitch (Gold) | Katowice 2019,30.75
3604,Sticker | Jame (Foil) | Katowice 2019,5.55
3605,Sticker | Jame (Gold) | Katowice 2019,62.1
3615,Sticker | gob b | Katowice 2019,0.27
3623,Sticker | tiziaN (Gold) | Katowice 2019,33.48
3653,Sticker | stanislaw (Gold) | Katowice 2019,28.8
3662,Sticker | allu (Gold) | Katowice 2019,53.63
3675,Sticker | GuardiaN | Katowice 2019,0.48
3677,Sticker | GuardiaN (Gold) | Katowice 2019,63.56
3695,Sticker | Xizt (Gold) | Katowice 2019,37.41
3700,Sticker | KRIMZ (Foil) | Katowice 2019,2.43
3705,Sticker | VINI | Katowice 2019,1.22
3711,Sticker | arT | Katowice 2019,1.21
3714,Sticker | KSCERATO | Katowice 2019,0.76
3716,Sticker | KSCERATO (Gold) | Katowice 2019,102.52
3717,Sticker | yuurih | Katowice 2019,0.38
3729,Sticker | kennyS | Katowice 2019,6.64
3731,Sticker | kennyS (Gold) | Katowice 2019,507.92
3754,Sticker | ANGE1 (Foil) | Katowice 2019,4.67
3758,Sticker | Hobbit (Gold) | Katowice 2019,35.99
3777,Sticker | coldzera | Katowice 2019,0.35
3802,Sticker | GeT_RiGhT (Foil) | Katowice 2019,3.01
3810,Sticker | daps | Katowice 2019,2.75
3814,Sticker | Brehze (Foil) | Katowice 2019,4.77
3827,Sticker | Gratisfaction (Gold) | Katowice 2019,34.0
3845,Sticker | Stewie2K (Gold) | Katowice 2019,89.48
3850,Sticker | Twistzz (Foil) | Katowice 2019,10.63
3918,Sticker | apEX | Katowice 2019,0.67
3920,Sticker | apEX (Gold) | Katowice 2019,153.57
3925,Sticker | RpK (Foil) | Katowice 2019,3.23
3928,Sticker | ZywOo (Foil) | Katowice 2019,26.19
3932,Sticker | WorldEdit (Gold) | Katowice 2019,61.79
3938,Sticker | Kvik (Gold) | Katowice 2019,40.87
3939,Sticker | Boombl4 | Katowice 2019,1.43
3974,Sticker | Roosty Boosty,0.21
4032,Sticker | Natus Vincere (Holo) | Berlin 2019,1.18
4043,Sticker | Team Liquid | Berlin 2019,0.14
4063,Sticker | G2 Esports | Berlin 2019,0.39
4064,Sticker | G2 Esports (Holo) | Berlin 2019,0.98
4067,Sticker | Vitality | Berlin 2019,0.41
4068,Sticker | Vitality (Holo) | Berlin 2019,0.66
4085,Sticker | NRG (Foil) | Berlin 2019,2.54
4115,Sticker | StarLadder | Berlin 2019,0.46
4155,Sticker | dupreeh (Gold) | Berlin 2019,12.28
4163,Sticker | Aerial (Foil) | Berlin 2019,0.52
4194,Sticker | s1mple (Gold) | Berlin 2019,45.55
4196,Sticker | electronic (Foil) | Berlin 2019,0.53
4207,Sticker | Lekr0 | Berlin 2019,0.12
4224,Sticker | GuardiaN (Gold) | Berlin 2019,13.71
4225,Sticker | olofmeister | Berlin 2019,0.12
4227,Sticker | olofmeister (Gold) | Berlin 2019,11.98
4239,Sticker | Stewie2K (Gold) | Berlin 2019,28.37
4242,Sticker | NAF (Gold) | Berlin 2019,13.92
4245,Sticker | Twistzz (Gold) | Berlin 2019,44.4
4249,Sticker | Gratisfaction | Berlin 2019,0.07
4312,Sticker | shox | Berlin 2019,0.08
4315,Sticker | kennyS | Berlin 2019,1.42
4317,Sticker | kennyS (Gold) | Berlin 2019,63.37
4330,Sticker | ALEX | Berlin 2019,0.06
4337,Sticker | ZywOo (Foil) | Berlin 2019,2.3
4338,Sticker | ZywOo (Gold) | Berlin 2019,34.82
4370,Sticker | FL1T (Foil) | Berlin 2019,0.56
4430,Sticker | nexa (Foil) | Berlin 2019,0.46
4471,Sticker | v4lde | Berlin 2019,0.09
4476,Sticker | svyat (Gold) | Berlin 2019,11.09
4489,Sticker | kNgV- | Berlin 2019,4.31
4517,Sticker | Too Late,0.04
4526,Sticker | Nuke Beast,0.11
4627,Sticker | Tyranids Hive Tyrant (Holo),1.1
4647,Sticker | From The Deep,0.24
4654,Sticker | Hello AWP (Gold),5.0
4671,Sticker | Hello MP9,0.68
4733,Sticker | GODSENT | 2020 RMR,0.01
4759,Sticker | Virtus.pro (Foil) | 2020 RMR,0.54
4880,Sticker | Dark Water Surf Ava (Foil),12.26
4887,Sticker | Kitted Out,0.05
4892,Sticker | This Is Fine (CT),0.11
4907,Sticker | Knives Out,0.14
4911,Sticker | PTFO,0.11
4916,Sticker | Wingsuit (Holo),0.4
5001,Sticker | ENCE (Gold) | Stockholm 2021,3.9
5135,Sticker | Boombl4 | Stockholm 2021,0.01
5184,Sticker | sh1ro (Holo) | Stockholm 2021,1.03
5215,Sticker | Jame (Gold) | Stockholm 2021,16.58
5231,Sticker | device | Stockholm 2021,0.09
5260,Sticker | Wallbang,0.24
5320,Sticker | Vitality (Glitter) | Antwerp 2022,0.11
5401,Sticker | cadiaN (Glitter) | Antwerp 2022,0.08
5402,Sticker | cadiaN (Holo) | Antwerp 2022,1.95
5426,Sticker | HooXi (Holo) | Antwerp 2022,2.18
5435,Sticker | nicoodoz (Gold) | Antwerp 2022,1.82
5501,Sticker | karrigan (Glitter) | Antwerp 2022,0.15
5542,Sticker | Boombl4 (Holo) | Antwerp 2022,1.2
5549,Sticker | electronic (Glitter) | Antwerp 2022,0.02
5553,Sticker | b1t (Glitter) | Antwerp 2022,0.03
5584,Sticker | JaCkz | Antwerp 2022,0.01
5586,Sticker | JaCkz (Holo) | Antwerp 2022,0.6
5622,Sticker | blameF (Holo) | Antwerp 2022,0.67
5638,Sticker | apEX (Holo) | Antwerp 2022,1.25
5655,Sticker | ZywOo (Gold) | Antwerp 2022,23.55
5660,Sticker | chelo | Antwerp 2022,0.01
5696,Sticker | rigoN | Antwerp 2022,0.01
5700,Sticker | juanflatroo | Antwerp 2022,0.01
5704,Sticker | SENER1 | Antwerp 2022,0.01
5708,Sticker | sinnopsyy | Antwerp 2022,0.01
5718,Sticker | XANTARES (Holo) | Antwerp 2022,4.79
5720,Sticker | woxic | Antwerp 2022,0.03
